antecedents,consequents,confidence
frozenset({'Q02A'}),frozenset({'ALTA'}),1.0
frozenset({'Q02D'}),frozenset({'ALTA'}),1.0
frozenset({'Q03A'}),frozenset({'ALTA'}),1.0
frozenset({'Q04B'}),frozenset({'ALTA'}),1.0
frozenset({'Q04D'}),frozenset({'ALTA'}),1.0
frozenset({'Q05D'}),frozenset({'ALTA'}),1.0
frozenset({'Q05E'}),frozenset({'ALTA'}),1.0
frozenset({'Q06B'}),frozenset({'ALTA'}),1.0
frozenset({'Q06C'}),frozenset({'ALTA'}),1.0
frozenset({'Q07C'}),frozenset({'ALTA'}),1.0
frozenset({'Q07D'}),frozenset({'ALTA'}),1.0
frozenset({'Q08B'}),frozenset({'ALTA'}),1.0
frozenset({'Q08C'}),frozenset({'ALTA'}),1.0
frozenset({'Q09B'}),frozenset({'ALTA'}),1.0
frozenset({'Q09C'}),frozenset({'ALTA'}),1.0
frozenset({'Q10A'}),frozenset({'ALTA'}),1.0
frozenset({'Q10E'}),frozenset({'ALTA'}),1.0
frozenset({'Q11A'}),frozenset({'ALTA'}),1.0
frozenset({'Q11B'}),frozenset({'ALTA'}),1.0
frozenset({'Q12A'}),frozenset({'ALTA'}),1.0
frozenset({'Q13A'}),frozenset({'ALTA'}),1.0
frozenset({'Q15A'}),frozenset({'ALTA'}),1.0
frozenset({'Q17A'}),frozenset({'ALTA'}),1.0
frozenset({'Q17B'}),frozenset({'ALTA'}),1.0
frozenset({'Q18A'}),frozenset({'ALTA'}),1.0
frozenset({'Q19B'}),frozenset({'ALTA'}),1.0
frozenset({'Q20A'}),frozenset({'ALTA'}),1.0
frozenset({'Q20C'}),frozenset({'ALTA'}),1.0
frozenset({'Q21A'}),frozenset({'ALTA'}),1.0
frozenset({'Q21B'}),frozenset({'ALTA'}),1.0
frozenset({'Q22B'}),frozenset({'ALTA'}),1.0
frozenset({'Q22C'}),frozenset({'ALTA'}),1.0
frozenset({'Q23B'}),frozenset({'ALTA'}),1.0
frozenset({'Q23C'}),frozenset({'ALTA'}),1.0
frozenset({'Q24A'}),frozenset({'ALTA'}),1.0
frozenset({'Q24E'}),frozenset({'ALTA'}),1.0
frozenset({'Q25E'}),frozenset({'ALTA'}),1.0
frozenset({'Q26F'}),frozenset({'ALTA'}),1.0
"frozenset({'Q02A', 'Q03A'})",frozenset({'ALTA'}),1.0
frozenset({'Q02A'}),"frozenset({'ALTA', 'Q03A'})",0.9951007076755581
"frozenset({'Q02A', 'Q06B'})",frozenset({'ALTA'}),1.0
"frozenset({'Q09C', 'Q02A'})",frozenset({'ALTA'}),1.0
"frozenset({'Q10A', 'Q02A'})",frozenset({'ALTA'}),1.0
"frozenset({'Q11A', 'Q02A'})",frozenset({'ALTA'}),1.0
"frozenset({'Q12A', 'Q02A'})",frozenset({'ALTA'}),1.0
frozenset({'Q02A'}),"frozenset({'Q12A', 'ALTA'})",0.917313697962926
"frozenset({'Q13A', 'Q02A'})",frozenset({'ALTA'}),1.0
"frozenset({'Q02A', 'Q15A'})",frozenset({'ALTA'}),1.0
frozenset({'Q02A'}),"frozenset({'ALTA', 'Q15A'})",0.8280090536630089
"frozenset({'Q17A', 'Q02A'})",frozenset({'ALTA'}),1.0
"frozenset({'Q02A', 'Q17B'})",frozenset({'ALTA'}),1.0
"frozenset({'Q18A', 'Q02A'})",frozenset({'ALTA'}),1.0
frozenset({'Q02A'}),"frozenset({'ALTA', 'Q18A'})",0.8129960175343094
"frozenset({'Q19B', 'Q02A'})",frozenset({'ALTA'}),1.0
"frozenset({'Q20C', 'Q02A'})",frozenset({'ALTA'}),1.0
"frozenset({'Q21A', 'Q02A'})",frozenset({'ALTA'}),1.0
"frozenset({'Q24E', 'Q02A'})",frozenset({'ALTA'}),1.0
"frozenset({'Q25E', 'Q02A'})",frozenset({'ALTA'}),1.0
"frozenset({'Q02A', 'Q26F'})",frozenset({'ALTA'}),1.0
"frozenset({'Q02D', 'Q03A'})",frozenset({'ALTA'}),1.0
frozenset({'Q02D'}),"frozenset({'ALTA', 'Q03A'})",0.995413462835559
"frozenset({'Q12A', 'Q02D'})",frozenset({'ALTA'}),1.0
frozenset({'Q02D'}),"frozenset({'Q12A', 'ALTA'})",0.8640226628895183
"frozenset({'Q02D', 'Q18A'})",frozenset({'ALTA'}),1.0
"frozenset({'Q04B', 'Q03A'})",frozenset({'ALTA'}),1.0
