antecedents,consequents,confidence
frozenset({'Q02A'}),frozenset({'BAIXA'}),1.0
frozenset({'Q02D'}),frozenset({'BAIXA'}),1.0
frozenset({'Q04B'}),frozenset({'BAIXA'}),1.0
frozenset({'Q04D'}),frozenset({'BAIXA'}),1.0
frozenset({'Q05B'}),frozenset({'BAIXA'}),1.0
frozenset({'Q05D'}),frozenset({'BAIXA'}),1.0
frozenset({'Q06B'}),frozenset({'BAIXA'}),1.0
frozenset({'Q06C'}),frozenset({'BAIXA'}),1.0
frozenset({'Q07C'}),frozenset({'BAIXA'}),1.0
frozenset({'Q07D'}),frozenset({'BAIXA'}),1.0
frozenset({'Q08A'}),frozenset({'BAIXA'}),1.0
frozenset({'Q08B'}),frozenset({'BAIXA'}),1.0
frozenset({'Q09B'}),frozenset({'BAIXA'}),1.0
frozenset({'Q09C'}),frozenset({'BAIXA'}),1.0
frozenset({'Q09E'}),frozenset({'BAIXA'}),1.0
frozenset({'Q10A'}),frozenset({'BAIXA'}),1.0
frozenset({'Q10E'}),frozenset({'BAIXA'}),1.0
frozenset({'Q11A'}),frozenset({'BAIXA'}),1.0
frozenset({'Q11B'}),frozenset({'BAIXA'}),1.0
frozenset({'Q12A'}),frozenset({'BAIXA'}),1.0
frozenset({'Q13A'}),frozenset({'BAIXA'}),1.0
frozenset({'Q14A'}),frozenset({'BAIXA'}),1.0
frozenset({'Q15A'}),frozenset({'BAIXA'}),1.0
frozenset({'Q17A'}),frozenset({'BAIXA'}),1.0
frozenset({'Q18A'}),frozenset({'BAIXA'}),1.0
frozenset({'Q19B'}),frozenset({'BAIXA'}),1.0
frozenset({'Q20A'}),frozenset({'BAIXA'}),1.0
frozenset({'Q20C'}),frozenset({'BAIXA'}),1.0
frozenset({'Q21A'}),frozenset({'BAIXA'}),1.0
frozenset({'Q21B'}),frozenset({'BAIXA'}),1.0
frozenset({'Q22B'}),frozenset({'BAIXA'}),1.0
frozenset({'Q22C'}),frozenset({'BAIXA'}),1.0
frozenset({'Q23B'}),frozenset({'BAIXA'}),1.0
frozenset({'Q23C'}),frozenset({'BAIXA'}),1.0
frozenset({'Q24E'}),frozenset({'BAIXA'}),1.0
frozenset({'Q25A'}),frozenset({'BAIXA'}),1.0
frozenset({'Q25E'}),frozenset({'BAIXA'}),1.0
frozenset({'Q26F'}),frozenset({'BAIXA'}),1.0
"frozenset({'Q02A', 'Q06B'})",frozenset({'BAIXA'}),1.0
"frozenset({'Q02A', 'Q12A'})",frozenset({'BAIXA'}),1.0
frozenset({'Q02A'}),"frozenset({'BAIXA', 'Q12A'})",0.9450765473282897
"frozenset({'Q02A', 'Q13A'})",frozenset({'BAIXA'}),1.0
frozenset({'Q02A'}),"frozenset({'Q13A', 'BAIXA'})",0.8470244832310717
"frozenset({'Q02A', 'Q14A'})",frozenset({'BAIXA'}),1.0
frozenset({'Q02A'}),"frozenset({'Q14A', 'BAIXA'})",0.9738488115803896
"frozenset({'Q02A', 'Q15A'})",frozenset({'BAIXA'}),1.0
frozenset({'Q02A'}),"frozenset({'BAIXA', 'Q15A'})",0.8417227616608088
"frozenset({'Q02A', 'Q17A'})",frozenset({'BAIXA'}),1.0
"frozenset({'Q02A', 'Q18A'})",frozenset({'BAIXA'}),1.0
"frozenset({'Q02A', 'Q19B'})",frozenset({'BAIXA'}),1.0
"frozenset({'Q02A', 'Q21A'})",frozenset({'BAIXA'}),1.0
"frozenset({'Q02A', 'Q23B'})",frozenset({'BAIXA'}),1.0
"frozenset({'Q02A', 'Q24E'})",frozenset({'BAIXA'}),1.0
"frozenset({'Q12A', 'Q02D'})",frozenset({'BAIXA'}),1.0
frozenset({'Q02D'}),"frozenset({'BAIXA', 'Q12A'})",0.9242072699149266
"frozenset({'Q13A', 'Q02D'})",frozenset({'BAIXA'}),1.0
frozenset({'Q02D'}),"frozenset({'Q13A', 'BAIXA'})",0.8595643207012116
"frozenset({'Q14A', 'Q02D'})",frozenset({'BAIXA'}),1.0
frozenset({'Q02D'}),"frozenset({'Q14A', 'BAIXA'})",0.9833075534931683
"frozenset({'Q15A', 'Q02D'})",frozenset({'BAIXA'}),1.0
"frozenset({'Q17A', 'Q02D'})",frozenset({'BAIXA'}),1.0
frozenset({'Q02D'}),"frozenset({'BAIXA', 'Q17A'})",0.8373292085589069
"frozenset({'Q18A', 'Q02D'})",frozenset({'BAIXA'}),1.0
"frozenset({'Q19B', 'Q02D'})",frozenset({'BAIXA'}),1.0
"frozenset({'Q21A', 'Q02D'})",frozenset({'BAIXA'}),1.0
"frozenset({'Q02D', 'Q23B'})",frozenset({'BAIXA'}),1.0
"frozenset({'Q24E', 'Q02D'})",frozenset({'BAIXA'}),1.0
"frozenset({'Q04B', 'Q05B'})",frozenset({'BAIXA'}),1.0
"frozenset({'Q12A', 'Q04B'})",frozenset({'BAIXA'}),1.0
frozenset({'Q04B'}),"frozenset({'BAIXA', 'Q12A'})",0.9248713550600344
"frozenset({'Q13A', 'Q04B'})",frozenset({'BAIXA'}),1.0
frozenset({'Q04B'}),"frozenset({'Q13A', 'BAIXA'})",0.867032590051458
"frozenset({'Q14A', 'Q04B'})",frozenset({'BAIXA'}),1.0
frozenset({'Q04B'}),"frozenset({'Q14A', 'BAIXA'})",0.9873756432246998
"frozenset({'Q15A', 'Q04B'})",frozenset({'BAIXA'}),1.0
"frozenset({'Q17A', 'Q04B'})",frozenset({'BAIXA'}),1.0
frozenset({'Q04B'}),"frozenset({'BAIXA', 'Q17A'})",0.886655231560892
"frozenset({'Q18A', 'Q04B'})",frozenset({'BAIXA'}),1.0
"frozenset({'Q24E', 'Q04B'})",frozenset({'BAIXA'}),1.0
"frozenset({'Q04D', 'Q12A'})",frozenset({'BAIXA'}),1.0
frozenset({'Q04D'}),"frozenset({'BAIXA', 'Q12A'})",0.9334517342248224
"frozenset({'Q13A', 'Q04D'})",frozenset({'BAIXA'}),1.0
frozenset({'Q04D'}),"frozenset({'Q13A', 'BAIXA'})",0.8246970330129545
"frozenset({'Q14A', 'Q04D'})",frozenset({'BAIXA'}),1.0
frozenset({'Q04D'}),"frozenset({'Q14A', 'BAIXA'})",0.9739866276640201
"frozenset({'Q04D', 'Q15A'})",frozenset({'BAIXA'}),1.0
frozenset({'Q04D'}),"frozenset({'BAIXA', 'Q15A'})",0.8121604680317593
